time,open,high,low,close
1659693360,4153.75,4154.25,4153.5,4154.25
1659693420,4154.25,4154.75,4153,4153.75
1659693480,4153.5,4153.75,4153.5,4153.75
1659693540,4153.75,4154.25,4153.5,4154.25
1659693600,4154,4154.25,4153,4153.5
1659693660,4153.5,4153.5,4152.25,4153
1659693720,4153,4153,4151.5,4152
1659693780,4151.75,4152,4151.25,4151.25
1659693840,4151.5,4151.75,4150.5,4151.5
1659693900,4151.5,4151.5,4150,4150.5
1659693960,4150.75,4151.25,4150.5,4151
1659694020,4151.25,4152.25,4151.25,4152.25
1659694080,4152,4153,4152,4152.5
1659694140,4152.5,4153,4152.25,4152.5
1659694200,4152.5,4152.5,4152,4152
1659694260,4152.25,4152.25,4151,4151.25
1659694320,4151.25,4151.25,4150,4150.5
1659694380,4150.5,4151,4150.5,4151
1659694440,4151,4151,4150,4150.25
1659694500,4150.5,4151.75,4150.25,4151.5
1659694560,4151.5,4151.75,4151.25,4151.25
1659694620,4151.25,4152,4151,4151
1659694680,4151,4151.25,4150.5,4151.25
1659694740,4151.25,4151.75,4151,4151.25
1659694800,4151.25,4151.25,4150,4150.25
1659694860,4150.5,4151,4150.25,4150.75
1659694920,4150.5,4150.5,4150,4150
1659694980,4150,4150.5,4150,4150
1659695040,4150,4151.5,4150,4151
1659695100,4151.25,4151.5,4150.5,4150.5
1659695160,4150.5,4151,4150.5,4150.75
1659695220,4150.75,4151,4150.5,4151
1659695280,4151,4151.75,4150.75,4151.75
1659695340,4152,4152.25,4151.75,4152
1659695400,4151.75,4151.75,4151.25,4151.25
1659695460,4151,4151,4150.5,4150.5
1659695520,4150.5,4151,4148.75,4150
1659695580,4149.75,4152,4149.75,4152
1659695640,4152,4152,4151.5,4151.75
1659695700,4152,4152.5,4151.75,4152
1659695760,4152,4152.25,4151.25,4151.5
1659695820,4151.5,4151.5,4150.75,4151
1659695880,4150.75,4150.75,4150.25,4150.5
1659695940,4150.5,4151,4150,4150
1659696000,4150,4150.5,4149.5,4149.75
1659696060,4150,4150.25,4149.75,4150.25
1659696120,4150.5,4150.75,4150.25,4150.25
1659696180,4150.25,4150.5,4149.75,4150.25
1659696240,4150,4151,4149.75,4150.75
1659696300,4150.75,4151,4150.25,4150.75
1659696360,4150.5,4150.75,4150.25,4150.25
1659696420,4150.5,4150.5,4150.25,4150.5
1659696480,4150.5,4150.5,4150,4150
1659696540,4150.25,4150.75,4150,4150.75
1659696600,4150.75,4151.25,4150.5,4150.75
1659696660,4150.75,4151.75,4150.75,4151.25
1659696720,4151.5,4152.5,4151.25,4151.5
1659696780,4151.5,4151.75,4151.25,4151.75
1659696840,4151.75,4151.75,4151.25,4151.25
1659696900,4151.25,4151.25,4149.5,4149.75
1659696960,4149.75,4149.75,4148.5,4149.25
1659697020,4149.25,4149.5,4147.75,4148.25
1659697080,4148.25,4149.25,4148.25,4149
1659697140,4148.75,4150,4148.75,4150
1659697200,4150,4151.25,4149.75,4151
1659697260,4151,4151.5,4150.75,4151.25
1659697320,4151.25,4151.5,4150,4150.5
1659697380,4150.5,4150.75,4149.5,4149.75
1659697440,4150,4150.25,4149.5,4149.75
1659697500,4149.75,4149.75,4147.5,4147.75
1659697560,4147.5,4148.5,4147.5,4148
1659697620,4148,4148,4147.25,4147.5
1659697680,4147.75,4148.25,4147.75,4148
1659697740,4148,4148.5,4147.75,4148
1659697800,4148,4149.25,4147.75,4148.5
1659697860,4148.5,4148.75,4148,4148
1659697920,4148,4148.5,4147.75,4147.75
1659697980,4148,4148.25,4147.5,4148
1659698040,4147.75,4148.5,4147.5,4148
1659698100,4148,4148,4146.25,4147.25
1659698160,4147.5,4148,4147.5,4147.5
1659698220,4147.5,4148.5,4147.5,4148.25
1659698280,4148,4149,4148,4149
1659698340,4148.75,4151,4148.75,4150
1659698400,4150.25,4150.5,4149.5,4150
1659698460,4149.75,4149.75,4148.75,4149.25
1659698520,4149.25,4149.5,4149,4149.25
1659698580,4149.25,4149.75,4149.25,4149.75
1659698640,4149.75,4150.25,4149.5,4150
1659698700,4150,4151.5,4150,4151.5
1659698760,4151.5,4151.5,4150.5,4150.75
1659698820,4150.75,4151.25,4150,4150.75
1659698880,4150.75,4151.5,4150.25,4151.5
1659698940,4151.5,4151.75,4151,4151.5
1659699000,4151,4151.75,4151,4151.75
1659699060,4151.5,4151.5,4150.75,4151
1659699120,4151,4151.25,4150.5,4151.25
1659699180,4151.25,4151.5,4150.75,4151
1659699240,4150.75,4151,4150.5,4151
1659699300,4151,4151.5,4151,4151.25
1659699360,4151.5,4152,4151.25,4152
1659699420,4152,4153.5,4152,4153.5
1659699480,4153.5,4153.75,4152.75,4152.75
1659699540,4152.75,4153.25,4152.75,4153.25
1659699600,4153,4153.5,4152.5,4153.5
1659699660,4153.5,4153.75,4153,4153
1659699720,4153.25,4153.75,4153,4153.25
1659699780,4153.5,4153.5,4153,4153.25
1659699840,4153.25,4153.25,4152.25,4152.5
1659699900,4152.5,4153,4152.25,4152.25
1659699960,4152.5,4153.75,4152.5,4153.5
1659700020,4153.5,4154,4153,4153.75
1659700080,4153.75,4153.75,4153.25,4153.5
1659700140,4153.75,4154.5,4153.75,4154.5
1659700200,4154.25,4154.5,4154,4154.5
1659700260,4154.5,4156.5,4154.5,4155.75
1659700320,4155.75,4157.25,4155.75,4156.75
1659700380,4156.75,4157.25,4156.5,4156.5
1659700440,4156.5,4157,4156,4156.25
1659700500,4156.25,4156.5,4155.75,4156.25
1659700560,4156.25,4156.75,4155.75,4156.75
1659700620,4156.75,4157.5,4156.5,4157.5
1659700680,4157.25,4158,4157.25,4157.75
1659700740,4158,4158,4157.25,4157.25
1659700800,4157.25,4157.75,4156.75,4156.75
1659700860,4156.75,4157,4156.5,4156.75
1659700920,4156.5,4157.5,4156,4157.25
1659700980,4157.5,4157.5,4156.75,4157.25
1659701040,4157.25,4158.5,4157.25,4158.5
1659701100,4158.75,4159,4157.5,4157.5
1659701160,4157.75,4158.5,4157.5,4158
1659701220,4158,4158.75,4155.75,4156.25
